,to_rent,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,garden,swimming_pool,state_of_the_building_bon,state_of_the_building_excellentétat,state_of_the_building_fraîchementrénové,state_of_the_building_àrafraîchir,state_of_the_building_àrestaurer,state_of_the_building_àrénover,region_Antwerp,region_Brussels,region_East Flanders,region_Flemish Brabant,region_Flemish Region,region_Hainaut,region_Limburg,region_Liège,region_Luxembourg,region_Namur,region_Other,region_Walloon Brabant,region_Walloon Region,price
0,1,1.0,40.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,485.0
1,1,2.0,140.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,790.0
2,1,2.0,50.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520.0
3,1,1.0,160.50541498310923,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,640.0
4,1,2.0,95.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,660.0
5,1,2.0,100.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,925.0
6,1,3.0,170.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,900.0
7,1,1.0,160.50541498310923,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1050.0
8,1,2.0,160.50541498310923,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200.0
9,1,2.0,160.50541498310923,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1450.0
10,1,2.0,84.0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1650.0
11,1,2.0,160.50541498310923,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1050.0
12,1,2.0,95.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,860.0
13,1,1.0,48.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1125.0
14,1,2.0,160.50541498310923,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1750.0
15,1,2.0,160.50541498310923,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200.0
16,1,2.0,93.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1300.0
17,1,1.0,80.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,950.0
18,1,2.0,108.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,810.0
