,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be
0,True,485.0,1.0,40.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4020,Studio,Liège,Region Walloonie
1,True,790.0,2.0,140.0,True,False,False,False,0.0,False,0.0,False,bon,3200,Appartement,Flemish Region,Region Flanders
2,True,520.0,2.0,50.0,True,False,False,False,0.0,False,0.0,False,bon,6900,Appartement,Luxembourg,Region Walloonie
3,True,640.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,bon,3200,Appartement,Flemish Region,Region Flanders
4,True,660.0,2.0,95.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4920,Appartement,Liège,Region Walloonie
5,True,925.0,2.0,100.0,True,False,False,True,17.0,False,0.0,False,fraîchementrénové,1853,Appartement,Flemish Brabant,Region Flanders
6,True,900.0,3.0,170.0,True,False,False,False,0.0,False,0.0,False,bon,1400,Maison,Walloon Brabant,Region Walloonie
7,True,1050.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders
8,True,1200.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders
9,True,1450.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,àrénover,2060,Appartement,Antwerp,Region Flanders
10,True,1650.0,2.0,84.0,True,True,False,True,10.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders
11,True,1050.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,bon,2060,Appartement,Antwerp,Region Flanders
12,True,860.0,2.0,95.0,True,False,False,True,6.0,False,0.0,False,excellentétat,6061,Appartement,Hainaut,Region Walloonie
13,True,1125.0,1.0,48.0,True,True,False,True,10.0,False,0.0,False,excellentétat,1050,Studio,Brussels,Brussels
14,True,1750.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,bon,2000,Duplex,Antwerp,Region Flanders
15,True,1200.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders
16,True,1300.0,2.0,93.0,True,True,False,False,0.0,False,0.0,False,fraîchementrénové,2060,Appartement,Antwerp,Region Flanders
17,True,950.0,1.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels
18,True,810.0,2.0,108.0,True,False,False,True,4.0,False,0.0,False,excellentétat,4280,Appartement,Liège,Region Walloonie
19,True,650.0,2.0,85.0,True,False,False,True,20.0,True,0.0,False,bon,7900,Maison,Walloon Region,Region Walloonie
20,True,1300.0,2.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2000,Appartement,Antwerp,Region Flanders
21,True,815.0,2.0,120.0,True,False,False,True,4.0,False,0.0,False,excellentétat,4020,Appartement,Liège,Region Walloonie
22,True,525.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6000,Appartement,Hainaut,Region Walloonie
23,True,950.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,bon,2000,Appartement,Antwerp,Region Flanders
24,True,900.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,6700,Appartement,Luxembourg,Region Walloonie
25,True,950.0,2.0,107.0,True,False,False,False,0.0,False,0.0,False,bon,6700,Appartement,Luxembourg,Region Walloonie
26,True,1250.0,1.0,90.0,True,False,False,True,8.0,True,100.0,False,excellentétat,1050,Rez-de-chaussée,Brussels,Brussels
27,True,950.0,2.0,70.0,True,False,False,False,0.0,True,0.0,False,excellentétat,1348,Appartement,Walloon Brabant,Region Walloonie
28,True,4950.0,2.0,180.0,True,False,False,True,18.0,False,0.0,True,excellentétat,1050,Rez-de-chaussée,Brussels,Brussels
29,True,1200.0,1.0,60.0,True,False,False,True,5.0,False,0.0,False,excellentétat,2861,Appartementdeservice,Antwerp,Region Flanders
30,True,900.0,2.0,80.0,True,False,False,True,40.0,True,30.0,False,excellentétat,7870,Rez-de-chaussée,Walloon Region,Region Walloonie
31,True,800.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7850,Appartement,Walloon Region,Region Walloonie
32,True,650.0,1.0,120.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7021,Appartement,Walloon Region,Region Walloonie
33,True,1450.0,3.0,180.0,True,False,True,True,13.0,True,50.0,False,fraîchementrénové,7331,Villa,Walloon Region,Region Walloonie
34,True,1200.0,2.0,90.0,True,False,False,True,10.0,False,0.0,False,àrénover,1200,Appartement,Brussels,Brussels
35,True,1200.0,2.0,90.0,True,False,False,True,10.0,False,0.0,False,bon,1200,Appartement,Brussels,Brussels
