,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
0,True,485.0,1.0,40.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4020,Studio,Liège,Region Walloonie,12.125
1,True,790.0,2.0,140.0,True,False,False,False,0.0,False,0.0,False,bon,3200,Appartement,Flemish Region,Region Flanders,5.642857142857143
2,True,520.0,2.0,50.0,True,False,False,False,0.0,False,0.0,False,bon,6900,Appartement,Luxembourg,Region Walloonie,10.4
3,True,640.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,bon,3200,Appartement,Flemish Region,Region Flanders,3.9874044129124884
4,True,660.0,2.0,95.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4920,Appartement,Liège,Region Walloonie,6.947368421052632
5,True,925.0,2.0,100.0,True,False,False,True,17.0,False,0.0,False,fraîchementrénové,1853,Appartement,Flemish Brabant,Region Flanders,9.25
6,True,900.0,3.0,170.0,True,False,False,False,0.0,False,0.0,False,bon,1400,Maison,Walloon Brabant,Region Walloonie,5.294117647058823
7,True,1050.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders,6.541835364934552
8,True,1200.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders,7.4763832742109155
9,True,1450.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,àrénover,2060,Appartement,Antwerp,Region Flanders,9.033963123004856
10,True,1650.0,2.0,84.0,True,True,False,True,10.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders,19.642857142857142
11,True,1050.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,bon,2060,Appartement,Antwerp,Region Flanders,6.541835364934552
12,True,860.0,2.0,95.0,True,False,False,True,6.0,False,0.0,False,excellentétat,6061,Appartement,Hainaut,Region Walloonie,9.052631578947368
13,True,1125.0,1.0,48.0,True,True,False,True,10.0,False,0.0,False,excellentétat,1050,Studio,Brussels,Brussels,23.4375
14,True,1750.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,bon,2000,Duplex,Antwerp,Region Flanders,10.903058941557585
15,True,1200.0,2.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,2060,Appartement,Antwerp,Region Flanders,7.4763832742109155
16,True,1300.0,2.0,93.0,True,True,False,False,0.0,False,0.0,False,fraîchementrénové,2060,Appartement,Antwerp,Region Flanders,13.978494623655914
17,True,950.0,1.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,11.875
18,True,810.0,2.0,108.0,True,False,False,True,4.0,False,0.0,False,excellentétat,4280,Appartement,Liège,Region Walloonie,7.5
19,True,650.0,2.0,85.0,True,False,False,True,20.0,True,0.0,False,bon,7900,Maison,Walloon Region,Region Walloonie,7.647058823529412
20,True,1300.0,2.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2000,Appartement,Antwerp,Region Flanders,8.099415213728491
21,True,815.0,2.0,120.0,True,False,False,True,4.0,False,0.0,False,excellentétat,4020,Appartement,Liège,Region Walloonie,6.791666666666667
22,True,525.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6000,Appartement,Hainaut,Region Walloonie,8.75
23,True,950.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,bon,2000,Appartement,Antwerp,Region Flanders,5.918803425416975
24,True,900.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,6700,Appartement,Luxembourg,Region Walloonie,5.607287455658187
